tipo_acessorio;modelo;detalhe;cor;quantidade;arquivos_origem;material_aparente;confianca;observacoes
Faixa de Cabelo;Faixa Elástica com Laço;Laço Gorgurão Liso;Amarelo;3;Sem Idade/Conjunto_Faixas_de_Cabelo_Kit_Faixas_Sortidas_com_Laço.jpeg | Sem Idade/Conjunto_Faixas_de_Cabelo_Cartela_Laços_Coloridos.jpeg | Sem Idade/Conjunto_Faixas_de_Cabelo_Kit_10_Laços_Pastel.jpg;Tecido/Gorgurão e Elástico;Média;"1 unidade na cartela e 1 unidade visível no kit sortido; inclui 1 unidade(s) visível(is) no kit Mellany Kids"
Faixa de Cabelo;Faixa Elástica com Laço;Laço Gorgurão Liso;Azul Claro;2;Sem Idade/Conjunto_Faixas_de_Cabelo_Kit_Faixas_Sortidas_com_Laço.jpeg | Sem Idade/Conjunto_Faixas_de_Cabelo_Kit_10_Laços_Pastel.jpg;Tecido/Gorgurão e Elástico;Média;"Contagem por item visível no pacote; inclui 1 unidade(s) visível(is) no kit Mellany Kids"
Faixa de Cabelo;Faixa Elástica com Laço;Laço Gorgurão Liso;Azul Marinho;1;Sem Idade/Conjunto_Faixas_de_Cabelo_Cartela_Laços_Coloridos.jpeg;Tecido/Gorgurão e Elástico;Alta;1 unidade visível na cartela
Faixa de Cabelo;Faixa Elástica com Laço;Laço Gorgurão Liso;Branco/Off-White;4;Sem Idade/Conjunto_Faixas_de_Cabelo_Kit_Faixas_Sortidas_com_Laço.jpeg | Sem Idade/Conjunto_Faixas_de_Cabelo_Cartela_Laços_Coloridos.jpeg | Sem Idade/Conjunto_Faixas_de_Cabelo_Kit_10_Laços_Pastel.jpg;Tecido/Gorgurão e Elástico;Média;"Agrupa branco do kit e creme/off-white da cartela; inclui 2 unidade(s) visível(is) no kit Mellany Kids"
Faixa de Cabelo;Faixa Elástica com Laço;Laço Gorgurão Liso;Laranja/Pêssego;2;Sem Idade/Conjunto_Faixas_de_Cabelo_Kit_Faixas_Sortidas_com_Laço.jpeg | Sem Idade/Conjunto_Faixas_de_Cabelo_Cartela_Laços_Coloridos.jpeg;Tecido/Gorgurão e Elástico;Média;Agrupa laranja do kit e pêssego da cartela
Faixa de Cabelo;Faixa Elástica com Laço;Laço Gorgurão Liso;Lilás/Roxo;3;Sem Idade/Conjunto_Faixas_de_Cabelo_Kit_Faixas_Sortidas_com_Laço.jpeg | Sem Idade/Conjunto_Faixas_de_Cabelo_Cartela_Laços_Coloridos.jpeg | Sem Idade/Conjunto_Faixas_de_Cabelo_Kit_10_Laços_Pastel.jpg;Tecido/Gorgurão e Elástico;Média;"1 unidade na cartela e 1 unidade visível no kit sortido; inclui 1 unidade(s) visível(is) no kit Mellany Kids"
Faixa de Cabelo;Faixa Elástica com Laço;Laço Gorgurão Liso;Pink/Magenta;4;Sem Idade/Conjunto_Faixas_de_Cabelo_Kit_Faixas_Sortidas_com_Laço.jpeg | Sem Idade/Conjunto_Faixas_de_Cabelo_Cartela_Laços_Coloridos.jpeg | Sem Idade/Conjunto_Faixas_de_Cabelo_Kit_10_Laços_Pastel.jpg;Tecido/Gorgurão e Elástico;Média;"Agrupa tons pink e magenta; inclui 2 unidade(s) visível(is) no kit Mellany Kids"
Faixa de Cabelo;Faixa Elástica com Laço;Laço Gorgurão Liso;Preto;1;Sem Idade/Conjunto_Faixas_de_Cabelo_Kit_Faixas_Sortidas_com_Laço.jpeg;Tecido/Gorgurão e Elástico;Média;Contagem por item visível no pacote
Faixa de Cabelo;Faixa Elástica com Laço;Laço Gorgurão Liso;Rosa Claro;4;Sem Idade/Conjunto_Faixas_de_Cabelo_Kit_Faixas_Sortidas_com_Laço.jpeg | Sem Idade/Conjunto_Faixas_de_Cabelo_Cartela_Laços_Coloridos.jpeg | Sem Idade/Conjunto_Faixas_de_Cabelo_Kit_10_Laços_Pastel.jpg;Tecido/Gorgurão e Elástico;Média;"1 unidade na cartela e 1 unidade visível no kit sortido; inclui 2 unidade(s) visível(is) no kit Mellany Kids"
Faixa de Cabelo;Faixa Elástica com Laço;Laço Gorgurão Liso;Verde Claro/Menta;3;Sem Idade/Conjunto_Faixas_de_Cabelo_Kit_Faixas_Sortidas_com_Laço.jpeg | Sem Idade/Acessório_Faixa_de_Cabelo_com_Laço_Verde_Claro.jpeg | Sem Idade/Conjunto_Faixas_de_Cabelo_Kit_10_Laços_Pastel.jpg;Tecido/Gorgurão e Elástico;Média;"1 unidade individual e 1 unidade visível no kit sortido; inclui 1 unidade(s) visível(is) no kit Mellany Kids"
Faixa de Cabelo;Faixa Elástica com Laço;Laço Gorgurão Liso;Vermelho;2;Sem Idade/Conjunto_Faixas_de_Cabelo_Kit_Faixas_Sortidas_com_Laço.jpeg | Sem Idade/Conjunto_Faixas_de_Cabelo_Cartela_Laços_Coloridos.jpeg;Tecido/Gorgurão e Elástico;Média;1 unidade na cartela e 1 unidade visível no kit sortido
Faixa de Cabelo;Faixa Elástica com Laço;Laço com Flor Bordada;Rosa com Flor Branca;1;Sem Idade/Acessório_Faixa_de_Cabelo_com_Laço_e_Flor_Rosa.jpeg;Tecido/Gorgurão e Elástico;Alta;Laço rosa com flor branca bordada
Faixa de Cabelo;Faixa Elástica com Laço;Laço Personalizado com Nome e Flores;Branco/Off-White;1;Sem Idade/Acessório_Faixa_de_Cabelo_Personalizada_Isabel.jpeg;Tecido/Gorgurão e Elástico;Alta;Nome Isabel, flores bordadas e aplicações brilhantes
