arquivo;diretorio;tamanho_pasta;tamanho_identificado;grupo;tipo_classificacao;subtipo;material_aparente;cor_predominante;manga;perna_ou_pezinho;fechamento;estampa_ou_detalhes;quantidade;confianca;observacoes
RN/Macacão_com_Pezinho_Algodão_Manga_Longa.jpeg;RN;RN;RN Provável;Macacão;Macacão com Pezinho;Macacão Algodão Manga Longa;Algodão;Off-White e Cinza;Manga Longa;Comprida com Pezinho;Botões de Pressão Frontais e entrepernas;Estampa floral/folhagem cinza;1;Alta;Etiqueta aparenta RN, mas não está totalmente legível
RN/Body_Manga_Longa_Bordado_Frase.jpeg;RN;RN;Não Visível;Body;Body Manga Longa;Body Bordado/Frase;Algodão;Branco;Manga Longa;Sem Perna;Botões de Pressão entrepernas;"Coração vermelho e frase ""Eu sou um pacotinho de amor""";1;Alta;Agrupado em Body Manga Longa, com detalhe no subtipo
0-3/Vestido_Manga_Curta_Passeio_Saída.jpeg;0-3;0-3;Não Visível;Vestido;Vestido Manga Curta;Vestido de Passeio/Saída;Tecido Leve Tipo Algodão/Linho;Branco;Manga Curta;Saia Rodada;Zíper/Botão Traseiro Aparente;Bordado/renda, gola grande, babados e laço;1;Alta;Movida pelo usuário para a pasta 0-3
RN/Frio_Linha_Casaco_Cardigã_de_Linha_Crochê_Aberto_Estilo_Vestido.jpeg;RN;RN;Não Visível;Frio/Linha;Casaco/Cardigã de Linha;Crochê Aberto Estilo Vestido;Linha/Crochê;Amarelo Claro;Manga Longa;Não Aplicável;Botões Frontais e Fitas;Fitas amarelas, detalhe de abelhas, barra rodada;1;Alta;Agrupado como Frio/Linha para contar junto com tricô/crochê
RN/Frio_Linha_Casaco_Cardigã_de_Linha_Casaquinho_de_Tricô_Crochê.jpeg;RN;RN;Não Visível;Frio/Linha;Casaco/Cardigã de Linha;Casaquinho de Tricô/Crochê;Linha/Tricô;Off-White;Manga Longa;Não Aplicável;Botões Frontais;Bordados florais coloridos e fitas;1;Alta;Agrupado como Frio/Linha para evitar categoria solta
RN/Macacão_com_Pezinho_Algodão_Canelado.jpeg;RN;RN;0-1M;Macacão;Macacão com Pezinho;Macacão Algodão Canelado;Algodão Canelado;Rosa Claro;Manga Longa;Comprida com Pezinho;Zíper Frontal;Cor lisa;1;Alta;Etiqueta visível 0-1M
RN/Macacão_com_Pezinho_Algodão_Estampado.jpeg;RN;RN;0-1M;Macacão;Macacão com Pezinho;Macacão Algodão Estampado;Algodão;Off-White com Flores Rosa;Manga Longa;Comprida com Pezinho;Zíper/Botões Frontais;Estampa floral rosa;1;Alta;Etiqueta visível 0-1M
RN/Frio_Linha_Blusa_de_Frio_de_Linha_Tricô_Fechada.jpeg;RN;RN;Não Visível;Frio/Linha;Blusa de Frio de Linha;Blusa de Tricô Fechada;Lã/Tricô;Bege, Marrom e Branco;Manga Longa;Não Aplicável;Sem Abertura Frontal Visível;Listras horizontais;1;Alta;Agrupado em Frio/Linha, mas separado de casaco aberto
RN/Body_Manga_Longa_com_Gola_Bordado.jpeg;RN;RN;RN;Body;Body Manga Longa;Body com Gola/Bordado;Algodão;Branco;Manga Longa;Sem Perna;Botões de Pressão entrepernas e Botão Traseiro;Gola com renda e bordado de laços;1;Alta;Etiqueta RN visível
RN/Body_Manga_Curta_Transpassado_Estampado_Estampa_de_Ursinhos.jpeg;RN;RN;1 Mês;Body;Body Manga Curta;Body Transpassado Estampado;Algodão;Off-White;Manga Curta;Sem Perna;Botões Laterais e entrepernas;Estampa de ursinhos;1;Alta;Etiqueta Bout'Chou 1 mois
