arquivo_original;arquivo_novo;observacao
0-3/2026-09-06_19-01-47-941284_image.jpg;0-3/Conjunto_Body_Manga_Curta_Casaco_com_Capuz_e_Calça_Flamingos_Coral.jpg;Foto adicionada hoje classificada e renomeada
0-3/2026-09-06_19-19-13-993654_image.jpg;0-3/Conjunto_2_Bodies_Manga_Longa_e_Calça_Gatinha_Animal_Print.jpg;Foto adicionada hoje classificada e renomeada
0-3/2026-09-06_19-21-06-292856_image.jpg;0-3/Meia_com_Babado_Tule_Preto.jpg;Foto adicionada hoje classificada e renomeada
0-3/2026-09-06_19-34-13-287415_image.jpg;0-3/Conjunto_Meias_6_Kits_2_Pares_Lupo_Branco.jpg;Foto adicionada hoje classificada e renomeada
0-3/Touca_e_Luvas.jpg;0-3/Acessório_Touca_Personalizada_Isabel_Branca.jpg;Foto adicionada hoje classificada e renomeada
3-6/2026-09-06_19-09-40-208225_image.jpg;3-6/Macaquinho_Curto_Manga_Curta_Corações_Vermelhos_Zíper.jpg;Foto adicionada hoje classificada e renomeada
3-6/2026-09-06_19-11-23-649064_image.jpg;3-6/Conjunto_Body_Manga_Longa_e_Calça_Raposinha_Off_White.jpg;Foto adicionada hoje classificada e renomeada
3-6/2026-09-06_19-15-14-270423_image.jpg;3-6/Body_Manga_Curta_Estampado_Poá_Rosa_com_Bolsinho_Bichinho.jpg;Foto adicionada hoje classificada e renomeada
3-6/2026-09-06_19-15-32-699179_image.jpg;3-6/Body_Manga_Curta_Básico_Liso_Cinza_Claro.jpg;Foto adicionada hoje classificada e renomeada
3-6/2026-09-06_19-15-54-116813_image.jpg;3-6/Body_Manga_Curta_Estampado_Poá_Cinza_com_Bolsinho_Bichinho.jpg;Foto adicionada hoje classificada e renomeada
3-6/2026-09-06_19-16-13-247790_image.jpg;3-6/Body_Manga_Curta_Básico_Liso_Verde_Claro.jpg;Foto adicionada hoje classificada e renomeada
3-6/2026-09-06_19-16-32-681023_image.jpg;3-6/Body_Manga_Curta_Estampado_Poá_Amarelo_com_Bolsinho_Bichinho.jpg;Foto adicionada hoje classificada e renomeada
6-9/2026-09-06_19-06-48-243193_image.jpg;6-9/Body_Manga_Curta_Listrado_Preto_e_Branco.jpg;Foto adicionada hoje classificada e renomeada
6-9/2026-09-06_19-07-05-830846_image.jpg;6-9/Body_Manga_Curta_Estampado_Borboletas_Preto_e_Branco.jpg;Foto adicionada hoje classificada e renomeada
6-9/2026-09-06_19-07-24-743076_image.jpg;6-9/Body_Manga_Curta_Estampado_Frase_Pequena_Off_White.jpg;Foto adicionada hoje classificada e renomeada
6-9/2026-09-06_19-07-47-847399_image.jpg;6-9/Body_Manga_Curta_Estampado_Floral_Preto_e_Branco.jpg;Foto adicionada hoje classificada e renomeada
6-9/2026-09-06_19-08-11-986234_image.jpg;6-9/Body_Manga_Curta_Estampado_Folhagens_Preto.jpg;Foto adicionada hoje classificada e renomeada
RN/2026-09-06_19-02-43-428415_image.jpg;RN/Macacão_com_Pezinho_Algodão_Estampado_Floral_Delicado.jpg;Foto adicionada hoje classificada e renomeada
RN/2026-09-06_19-03-12-337891_image.jpg;RN/Macacão_com_Pezinho_Algodão_Canelado_Rosa_Claro.jpg;Foto adicionada hoje classificada e renomeada
RN/2026-09-06_19-03-32-311564_image.jpg;RN/Macacão_com_Pezinho_Algodão_Estampado_Poá_Rosa.jpg;Foto adicionada hoje classificada e renomeada
RN/2026-09-06_19-03-52-607480_image.jpg;RN/Macacão_com_Pezinho_Algodão_Estampado_Moranguinhos_e_Flores.jpg;Foto adicionada hoje classificada e renomeada
RN/2026-09-06_19-10-20-155625_image.jpg;RN/Macacão_com_Pezinho_Algodão_Listrado_Ovelhinha.jpg;Foto adicionada hoje classificada e renomeada
Sem Idade/2026-09-06_19-08-58-966803_image.jpg;Sem Idade/Enxoval_Banho_Roupão_com_Capuz_Pato_Off_White.jpg;Foto adicionada hoje classificada e renomeada
Sem Idade/2026-09-06_19-13-12-184213_image.jpg;Sem Idade/Conjunto_Faixas_de_Cabelo_Kit_10_Laços_Pastel.jpg;Foto adicionada hoje classificada e renomeada
Sem Idade/2026-09-06_19-13-55-205797_image.jpg;Sem Idade/Conjunto_Babadores_Bandana_Kit_Colorido.jpg;Foto adicionada hoje classificada e renomeada
Sem Idade/Jogo_de_Lençol.jpg;Sem Idade/Sono_Enxoval_Jogo_de_Lençol_Branco.jpg;Foto adicionada hoje classificada e renomeada
Sem Idade/Mantinha_Soft_Isabel.jpg;Sem Idade/Sono_Enxoval_Manta_Soft_Personalizada_Isabel_Rosa.jpg;Foto adicionada hoje classificada e renomeada
"Sem Idade/Paninho_de_boca_24;_Paninho_de_Ombro_05;_Cueiro_05_MIMA_E_NINA.jpg";Sem Idade/Conjunto_Paninhos_de_Boca_Paninhos_de_Ombro_e_Cueiros_Mima_e_Nina.jpg;Foto adicionada hoje classificada e renomeada
Sem Idade/Toalha_Rosa_Orelhinha.jpg;Sem Idade/Enxoval_Banho_Toalha_com_Capuz_Orelhinhas_Rosa.jpg;Foto adicionada hoje classificada e renomeada
Sem Idade/07_Paninho_de_Boca.jpeg;Sem Idade/Conjunto_Pano_de_Boca_e_Babinha_Kit_Babinhas_e_Panos_de_Boca.jpeg;Corrigido caminho de item que ja existia no CSV detalhado
